2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'KUNGLIGA TEKNISKA HOEGSKOLAN*THEROYAL INSTITUTE OF TECHNOLOGY', Sweden, 415600.00
2015, 671680 - METIS-II - MOBILE AND WIRELESS COMMUNICATIONS ENABLERS FOR TWENTY-TWENTY (2020) INFORMATION SOCIETY-II, 'TECHNISCHE UNIVERSITAT KAISERSLAUTERN*', Germany, 345600.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'ALCATEL LUCENT DEUTSCHLAND AG*', Germany, 951412.50
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'NOKIA SOLUTIONS AND NETWORKS DANMARK AS*', Denmark, 474687.50
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'SAMSUNG ELECTRONICS (UK) LIMITED*SEUK', United Kingdom, 609110.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'NOKIA SOLUTIONS AND NETWORKS OY*NSN FINLAND', Finland, 131801.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'WINGS ICT SOLUTIONS INFORMATION & COMMUNICATION TECHNOLOGIES EPE*', Greece, 316500.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'SEQUANS COMMUNICATIONS SA*', France, 455750.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'CENTRE TECNOLOGIC DE TELECOMUNICACIONS DE CATALUNYA*', Spain, 407000.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'HUAWEI TECHNOLOGIES DUESSELDORF GMBH*HWDU', Germany, 675750.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES*CEA', France, 665031.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'UNIVERSITAT BREMEN UNI-BREMEN*', Germany, 250750.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'AALBORG UNIVERSITET*UNIVERSITY OF AALBORG', Denmark, 424532.50
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'POLITECNICO DI BARI', Italy, 98750.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'NOKIA SOLUTIONS AND NETWORKS MANAGEMENT INTERNATIONAL GMBH*NSN MANAGEMENT INTERNATIONAL', Germany, 190231.00
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'INSTITUT MINES-TELECOM*', France, 483187.50
2015, 671660 - FANTASTIC-5G - FLEXIBLE AIR INTERFACE FOR SCALABLE SERVICE DELIVERY  WITHIN WIRELESS COMMUNICATION NETWORKS OF THE 5TH GENERATION, 'TELECOM ITALIA SPA*', Italy, 150000.00
